idAtracciones,nombreAtraccion,fechaInstalacion,capacidad,seccion,edadMinima,edadMaxima,precioNormal,activo
0,Reventazón,"2020-04-01 00:00:00.000000",50,F,3,100,500.00,1
1,"Street Mission","2019-12-30 00:00:00.000000",2000,a,15,60,1.00,1
2,Angkor,"2012-12-30 00:00:00.000000",2000,a,20,60,15.00,1
3,Shambhala,"2012-02-16 00:00:00.000000",400,a,15,40,35.00,1
4,"Dragon Khan","2002-05-16 00:00:00.000000",50,a,18,60,800.00,1
5,"Furius Baco","1999-02-15 00:00:00.000000",400,f,5,60,330.00,1
6,"Hurakan Condor","1998-05-20 00:00:00.000000",55,a,10,40,800.00,1
7,Stampida,"1995-04-06 00:00:00.000000",88,i,5,10,7.00,1
8,Tomahawk,"2020-10-04 00:00:00.000000",10,a,20,30,45.00,1
9,"El Diablo - Tren de la Mina","1985-11-01 00:00:00.000000",200,f,5,50,66.00,0
10,"Tutuki Splash","2000-08-08 00:00:00.000000",55,i,1,13,4.00,1
11,"Silver River Flume","2012-01-16 00:00:00.000000",44,a,13,18,10.00,0
12,Tami-Tami,"2022-01-01 00:00:00.000000",45,f,5,55,11.00,1
13,"Grand Canyon Rapids","1980-01-05 00:00:00.000000",100,i,5,13,7.00,1
14,"Ferrocarril Tour","1985-08-26 00:00:00.000000",400,a,18,50,88.00,1
15,Bocaracá,"2021-12-04 00:00:00.000000",88,f,20,40,13.00,0
16,"Montaña Rusa","2000-12-07 00:00:00.000000",150,a,13,60,99.00,1
17,"Carros Chocones","2008-10-11 00:00:00.000000",66,f,5,30,40.00,0
18,"Caso de los sustos","2009-01-08 00:00:00.000000",100,a,15,50,50.00,1
19,Pacuare,"2012-03-17 00:00:00.000000",30,i,3,10,35.00,1
20,"Go Carts","2002-07-16 00:00:00.000000",50,a,15,40,60.00,1
21,Pacuare,"2020-04-01 00:00:00.000000",100,A,12,100,500.00,1
